Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
01/23/2015 23:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,400 Block of NATOMA ST,-122.4058326,37.78155716
01/23/2015 23:00,MISSING PERSON,MISSING ADULT,Friday,INGLESIDE,NONE,0 Block of SEQUOIA WY,-122.4487675,37.73860887
01/23/2015 23:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE,JACKSON ST / POLK ST,-122.421407,37.79414189
01/23/2015 23:00,NON-CRIMINAL,FOUND PROPERTY,Friday,MISSION,NONE,POTRERO AV / 17TH ST,-122.407422,37.76448809
01/23/2015 23:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,SOUTHERN,NONE,700 Block of HOWARD ST,-122.401561,37.78408887
01/23/2015 23:00,EMBEZZLEMENT,EMBEZZLEMENT (GENERAL),Friday,NORTHERN,NONE,500 Block of HAYES ST,-122.4253943,37.77651956
01/23/2015 23:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,SOUTHERN,"ARREST, BOOKED",HARRISON ST / 7TH ST,-122.4063001,37.77551311
01/23/2015 23:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Friday,INGLESIDE,NONE,MONTEREY BL / ACADIA ST,-122.4374566,37.73158983
01/23/2015 23:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,NORTHERN,NONE,1200 Block of POLK ST,-122.420327,37.78845216
01/23/2015 23:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,RITCH ST / TOWNSEND ST,-122.3932896,37.77842848
01/23/2015 22:48,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Friday,SOUTHERN,NONE,1100 Block of FOLSOM ST,-122.4091846,37.77560802
01/23/2015 22:48,ROBBERY,"ROBBERY, BODILY FORCE",Friday,SOUTHERN,NONE,1100 Block of FOLSOM ST,-122.4091846,37.77560802
01/23/2015 22:45,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,MISSION,NONE,1600 Block of BRYANT ST,-122.4104781,37.76624632
01/23/2015 22:45,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Friday,TARAVAL,"ARREST, BOOKED",600 Block of VICTORIA ST,-122.4651364,37.72242877
01/23/2015 22:45,ASSAULT,WILLFUL CRUELTY TO CHILD,Friday,TARAVAL,"ARREST, BOOKED",600 Block of VICTORIA ST,-122.4651364,37.72242877
01/23/2015 22:35,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,SOUTHERN,"ARREST, BOOKED",HARRISON ST / 7TH ST,-122.4063001,37.77551311
01/23/2015 22:30,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,800 Block of HARRISON ST,-122.4007023,37.77985601
01/23/2015 22:30,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,700 Block of HARRISON ST,-122.3978145,37.78213725
01/23/2015 22:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,2ND ST / HARRISON ST,-122.3951632,37.7843097
01/23/2015 22:30,LARCENY/THEFT,GRAND THEFT FROM PERSON,Friday,SOUTHERN,NONE,2ND ST / KING ST,-122.3895953,37.7798612
01/23/2015 22:30,NON-CRIMINAL,LOST PROPERTY,Friday,MISSION,NONE,4100 Block of 18TH ST,-122.435563,37.76080106
01/23/2015 22:30,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE,CEDAR ST / VANNESS AV,-122.4214772,37.78615274
01/23/2015 22:20,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,SOUTHERN,"ARREST, BOOKED",HARRISON ST / 7TH ST,-122.4063001,37.77551311
01/23/2015 22:15,ASSAULT,BATTERY,Friday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071
01/23/2015 22:15,SECONDARY CODES,DOMESTIC VIOLENCE,Friday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071
01/23/2015 22:07,SUSPICIOUS OCC,"SUSPICIOUS AUTO, POSSIBLY SEX",Friday,NORTHERN,NONE,300 Block of HAIGHT ST,-122.428007,37.77247261
01/23/2015 22:05,ASSAULT,ATTEMPTED HOMICIDE WITH BODILY FORCE,Friday,TENDERLOIN,"ARREST, BOOKED",500 Block of OFARRELL ST,-122.4138201,37.7857383
01/23/2015 22:05,ASSAULT,INFLICT INJURY ON COHABITEE,Friday,TENDERLOIN,"ARREST, BOOKED",500 Block of OFARRELL ST,-122.4138201,37.7857383
01/23/2015 22:05,ASSAULT,THREATS AGAINST LIFE,Friday,TENDERLOIN,"ARREST, BOOKED",500 Block of OFARRELL ST,-122.4138201,37.7857383
01/23/2015 22:05,SECONDARY CODES,DOMESTIC VIOLENCE,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
01/23/2015 22:05,ASSAULT,THREATS AGAINST LIFE,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
01/23/2015 22:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Friday,TARAVAL,NONE,1300 Block of 43RD AV,-122.5027081,37.76148209
01/23/2015 22:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,800 Block of HARRISON ST,-122.4007999,37.77993387
01/23/2015 22:00,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Friday,NORTHERN,NONE,GREENWICH ST / STEINER ST,-122.437516,37.79874034
01/23/2015 22:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Friday,NORTHERN,NONE,GREENWICH ST / STEINER ST,-122.437516,37.79874034
01/23/2015 22:00,ROBBERY,"ROBBERY, BODILY FORCE",Friday,INGLESIDE,NONE,30TH ST / MISSION ST,-122.4219709,37.74237522
01/23/2015 22:00,KIDNAPPING,"KIDNAPPING, ADULT VICTIM",Friday,INGLESIDE,NONE,30TH ST / MISSION ST,-122.4219709,37.74237522
01/23/2015 22:00,NON-CRIMINAL,LOST PROPERTY,Friday,SOUTHERN,NONE,4TH ST / MARKET ST,-122.4058325,37.78574465
01/23/2015 22:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,SOUTHERN,"ARREST, BOOKED",HARRISON ST / 6TH ST,-122.4040716,37.77727419
01/23/2015 22:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,800 Block of HARRISON ST,-122.4007023,37.77985601
01/23/2015 22:00,NON-CRIMINAL,FOUND PROPERTY,Friday,SOUTHERN,NONE,800 Block of HARRISON ST,-122.4007023,37.77985601
01/23/2015 22:00,MISSING PERSON,MISSING ADULT,Friday,CENTRAL,NONE,1800 Block of STOCKTON ST,-122.4097255,37.8027699
01/23/2015 22:00,MISSING PERSON,FOUND PERSON,Friday,CENTRAL,NONE,1800 Block of STOCKTON ST,-122.4097255,37.8027699
01/23/2015 22:00,LARCENY/THEFT,PETTY THEFT BICYCLE,Friday,PARK,NONE,800 Block of HAIGHT ST,-122.4362144,37.77131718
01/23/2015 22:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,INGLESIDE,NONE,500 Block of CAMPBELL AV,-122.4072474,37.71559738
01/23/2015 22:00,NON-CRIMINAL,FOUND PROPERTY,Friday,NORTHERN,NONE,VANNESS AV / UNION ST,-122.4239859,37.79855258
01/23/2015 22:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,KISSLING ST / 11TH ST,-122.4150026,37.77264988
01/23/2015 22:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,SOUTHERN,NONE,KISSLING ST / 11TH ST,-122.4150026,37.77264988
01/23/2015 22:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,NORTHERN,NONE,1200 Block of POLK ST,-122.420327,37.78845216
01/23/2015 21:35,ROBBERY,"ROBBERY, BODILY FORCE",Friday,TENDERLOIN,NONE,500 Block of ELLIS ST,-122.4145934,37.78458081
01/23/2015 21:34,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,SOUTHERN,"ARREST, BOOKED",1000 Block of HARRISON ST,-122.4059551,37.77586097
01/23/2015 21:33,ARSON,ARSON,Friday,CENTRAL,NONE,1500 Block of JONES ST,-122.4149856,37.79543256
01/23/2015 21:30,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,INGLESIDE,NONE,400 Block of LOSPALMOS DR,-122.4517892,37.73443018
01/23/2015 21:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,CENTRAL,NONE,JONES ST / BEACH ST,-122.4172651,37.80707305
01/23/2015 21:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,BRANNAN ST / 4TH ST,-122.3965332,37.7783269
01/23/2015 21:30,MISSING PERSON,MISSING JUVENILE,Friday,BAYVIEW,UNFOUNDED,1200 Block of SHAFTER AV,-122.3841613,37.72738402
01/23/2015 21:30,MISSING PERSON,FOUND PERSON,Friday,BAYVIEW,UNFOUNDED,1200 Block of SHAFTER AV,-122.3841613,37.72738402
01/23/2015 21:25,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,SOUTHERN,"ARREST, BOOKED",HARRISON ST / 7TH ST,-122.4063001,37.77551311
01/23/2015 21:25,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,BAYVIEW,NONE,2400 Block of 3RD ST,-122.3885759,37.75919465
01/23/2015 21:20,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Friday,TENDERLOIN,NONE,100 Block of OFARRELL ST,-122.4072441,37.78656476
01/23/2015 21:20,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,MISSION,NONE,1000 Block of POTRERO AV,-122.4065391,37.75648641
01/23/2015 21:08,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,TENDERLOIN,NONE,200 Block of HYDE ST,-122.4157217,37.78306799
01/23/2015 21:05,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,SOUTHERN,"ARREST, BOOKED",HARRISON ST / 6TH ST,-122.4040716,37.77727419
01/23/2015 21:03,WARRANTS,WARRANT ARREST,Friday,SOUTHERN,"ARREST, BOOKED",6TH ST / STEVENSON ST,-122.4096964,37.78175406
01/23/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,BAYVIEW,NONE,22ND ST / ILLINOIS ST,-122.3873163,37.75800217
01/23/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,TARAVAL,NONE,2300 Block of 24TH AV,-122.4811832,37.74372682
01/23/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,500 Block of BRANNAN ST,-122.3977132,37.77746967
01/23/2015 21:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,TARAVAL,NONE,TARAVAL ST / 19TH AV,-122.4756443,37.74305055
01/23/2015 21:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,SOUTHERN,"ARREST, BOOKED",HARRISON ST / 7TH ST,-122.4063001,37.77551311
01/23/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,RICHMOND,NONE,700 Block of 47TH AV,-122.5080241,37.77427079
01/23/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Friday,NORTHERN,NONE,200 Block of LARKIN ST,-122.4169279,37.78002716
01/23/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE,200 Block of LARKIN ST,-122.4169279,37.78002716
01/23/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Friday,MISSION,NONE,400 Block of NOE ST,-122.4329792,37.76221512
01/23/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE,STEINER ST / UNION ST,-122.4371386,37.79687864
01/23/2015 21:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Friday,NORTHERN,NONE,200 Block of LARKIN ST,-122.4169279,37.78002716
01/23/2015 21:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,SOUTHERN,NONE,5TH ST / BLUXOME ST,-122.3979708,37.77594143
01/23/2015 21:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Friday,RICHMOND,NONE,800 Block of 26TH AV,-122.4852593,37.77343931
01/23/2015 21:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Friday,PARK,NONE,1200 Block of 6TH AV,-122.4632694,37.76558244
01/23/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE,STEINER ST / UNION ST,-122.4371386,37.79687864
01/23/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE,GEARY BL / STEINER ST,-122.4345637,37.78415049
01/23/2015 20:50,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,INGLESIDE,NONE,500 Block of AVALON AV,-122.4281113,37.72565963
01/23/2015 20:48,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,PARK,"ARREST, BOOKED",BRODERICK ST / GOLDEN GATE AV,-122.4402138,37.77851161
01/23/2015 20:45,LARCENY/THEFT,THEFT OF COMPUTERS OR CELL PHONES,Friday,TENDERLOIN,NONE,400 Block of OFARRELL ST,-122.4117425,37.78588822
01/23/2015 20:40,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,BRANNAN ST / 4TH ST,-122.3965332,37.7783269
01/23/2015 20:40,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,SOUTHERN,NONE,10TH ST / HARRISON ST,-122.4112792,37.77157858
01/23/2015 20:37,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Friday,SOUTHERN,"ARREST, BOOKED",0 Block of MAIN ST,-122.3957716,37.79243096
01/23/2015 20:37,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Friday,SOUTHERN,"ARREST, BOOKED",STEUART ST / MISSION ST,-122.3931859,37.79323041
01/23/2015 20:37,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Friday,SOUTHERN,"ARREST, BOOKED",0 Block of MAIN ST,-122.3957716,37.79243096
01/23/2015 20:37,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Friday,SOUTHERN,"ARREST, BOOKED",STEUART ST / MISSION ST,-122.3931859,37.79323041
01/23/2015 20:30,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,SOUTHERN,NONE,800 Block of MISSION ST,-122.4053955,37.78351007
01/23/2015 20:30,VEHICLE THEFT,STOLEN TRUCK,Friday,TENDERLOIN,UNFOUNDED,EDDY ST / LEAVENWORTH ST,-122.414243,37.78372403
01/23/2015 20:30,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,PARK,NONE,GEARY BL / SCOTT ST,-122.4378509,37.78371743
01/23/2015 20:30,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,RICHMOND,NONE,600 Block of 23RD AV,-122.4823189,37.77544615
01/23/2015 20:27,WARRANTS,WARRANT ARREST,Friday,TENDERLOIN,"ARREST, BOOKED",TURK ST / LEAVENWORTH ST,-122.4140563,37.78279311
01/23/2015 20:27,FRAUD,FALSE ID TO PEACE OFFICER,Friday,TENDERLOIN,"ARREST, BOOKED",TURK ST / LEAVENWORTH ST,-122.4140563,37.78279311
01/23/2015 20:22,OTHER OFFENSES,"PHONE CALLS, OBSCENE",Friday,CENTRAL,NONE,900 Block of CHESTNUT ST,-122.4194347,37.80302839
01/23/2015 20:19,SECONDARY CODES,ATM RELATED CRIME,Friday,MISSION,NONE,2000 Block of MISSION ST,-122.4195204,37.76422894
01/23/2015 20:19,OTHER OFFENSES,"MONEY, PROPERTY OR LABOR, FRAUDULENTLY OBTAINING",Friday,MISSION,NONE,2000 Block of MISSION ST,-122.4195204,37.76422894
01/23/2015 20:18,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE,JACKSON ST / WEBSTER ST,-122.4329202,37.79267916
01/23/2015 20:17,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,SOUTHERN,"ARREST, BOOKED",4TH ST / MISSION ST,-122.4042702,37.78447885
01/23/2015 20:15,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Friday,SOUTHERN,"ARREST, BOOKED",MISSION ST / BEALE ST,-122.3958155,37.79115272
01/23/2015 20:15,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Friday,SOUTHERN,"ARREST, BOOKED",MISSION ST / BEALE ST,-122.3958155,37.79115272
01/23/2015 20:15,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,BAYVIEW,NONE,300 Block of BAY SHORE BL,-122.40648,37.74105755
01/23/2015 20:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Friday,SOUTHERN,"ARREST, BOOKED",0 Block of MAIN ST,-122.3957716,37.79243096
01/23/2015 20:00,NON-CRIMINAL,LOST PROPERTY,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
01/23/2015 20:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Friday,INGLESIDE,NONE,400 Block of GENEVA AV,-122.447125,37.72103059
01/23/2015 20:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,MISSION,NONE,100 Block of CAPP ST,-122.4186879,37.76427539
01/23/2015 20:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,RICHMOND,NONE,600 Block of 35TH AV,-122.4953104,37.77672397
01/23/2015 20:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,BAYVIEW,NONE,1000 Block of ILLINOIS ST,-122.3873706,37.75926735
01/23/2015 20:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,INGLESIDE,NONE,0 Block of DUBLIN ST,-122.4261694,37.71895969
01/23/2015 20:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,ALAMEDA ST / HENRYADAMS ST,-122.4038767,37.76859161
01/23/2015 20:00,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Friday,SOUTHERN,"ARREST, BOOKED",0 Block of MAIN ST,-122.3957716,37.79243096
01/23/2015 20:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,TARAVAL,NONE,200 Block of DORADO TR,-122.4613329,37.72618081
01/23/2015 20:00,NON-CRIMINAL,"AIDED CASE, DOG BITE",Friday,MISSION,NONE,0 Block of GRANDVIEW AV,-122.4405971,37.75680079
01/23/2015 19:58,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,SOUTHERN,NONE,500 Block of 5TH ST,-122.3999811,37.77762424
01/23/2015 19:45,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,BAYVIEW,NONE,400 Block of CHINABASIN ST,-122.3882555,37.77202451
01/23/2015 19:45,NON-CRIMINAL,FOUND PROPERTY,Friday,CENTRAL,NONE,HYDE ST / LOMBARD ST,-122.4196161,37.80199424
01/23/2015 19:30,FRAUD,"CREDIT CARD, THEFT BY USE OF",Friday,INGLESIDE,NONE,1300 Block of GENEVA AV,-122.4333126,37.71295361
01/23/2015 19:30,NON-CRIMINAL,LOST PROPERTY,Friday,INGLESIDE,NONE,1300 Block of GENEVA AV,-122.4333126,37.71295361
01/23/2015 19:30,NON-CRIMINAL,LOST PROPERTY,Friday,SOUTHERN,NONE,4TH ST / HARRISON ST,-122.3996176,37.78079066
01/23/2015 19:25,WARRANTS,WARRANT ARREST,Friday,MISSION,"ARREST, BOOKED",3500 Block of CESAR CHAVEZ ST,-122.4208327,37.74799945
01/23/2015 19:20,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,10TH ST / HARRISON ST,-122.4112792,37.77157858
01/23/2015 19:20,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,BAYVIEW,NONE,ILLINOIS ST / 23RD ST,-122.387068,37.75544603
01/23/2015 19:19,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Friday,NORTHERN,"ARREST, BOOKED",0 Block of MARINA BL,-122.4329516,37.80505202
01/23/2015 19:19,OTHER OFFENSES,RESISTING ARREST,Friday,NORTHERN,"ARREST, BOOKED",0 Block of MARINA BL,-122.4329516,37.80505202
01/23/2015 19:19,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Friday,NORTHERN,"ARREST, BOOKED",0 Block of MARINA BL,-122.4329516,37.80505202
01/23/2015 19:19,WARRANTS,WARRANT ARREST,Friday,NORTHERN,"ARREST, BOOKED",0 Block of MARINA BL,-122.4329516,37.80505202
01/23/2015 19:18,WARRANTS,WARRANT ARREST,Friday,CENTRAL,"ARREST, BOOKED",300 Block of POWELL ST,-122.4083843,37.78782711
01/23/2015 19:18,LARCENY/THEFT,THEFT FROM MERCHANT OR LIBRARY,Friday,CENTRAL,"ARREST, BOOKED",300 Block of POWELL ST,-122.4083843,37.78782711
01/23/2015 19:18,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Friday,CENTRAL,"ARREST, BOOKED",300 Block of POWELL ST,-122.4083843,37.78782711
01/23/2015 19:15,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,CENTRAL,NONE,MONTGOMERY ST / FRANCISCO ST,-122.4053614,37.80569474
01/23/2015 19:15,MISSING PERSON,MISSING ADULT,Friday,PARK,NONE,0 Block of SHRADER ST,-122.4528398,37.77451454
01/23/2015 19:15,MISSING PERSON,FOUND PERSON,Friday,PARK,NONE,0 Block of SHRADER ST,-122.4528398,37.77451454
01/23/2015 19:15,NON-CRIMINAL,CASE CLOSURE,Friday,PARK,NONE,0 Block of SHRADER ST,-122.4528398,37.77451454
01/23/2015 19:15,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
01/23/2015 19:14,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,TENDERLOIN,"ARREST, BOOKED",0 Block of POWELL ST,-122.4078454,37.78509432
01/23/2015 19:14,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Friday,TENDERLOIN,"ARREST, BOOKED",0 Block of POWELL ST,-122.4078454,37.78509432
01/23/2015 19:05,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, BOOKED",CESAR CHAVEZ ST / 3RD ST,-122.3875868,37.75026529
01/23/2015 19:03,WARRANTS,WARRANT ARREST,Friday,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,-122.4196583,37.76422056
01/23/2015 19:00,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Friday,PARK,NONE,0 Block of CARMELITA ST,-122.4342528,37.77023942
01/23/2015 19:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Friday,PARK,NONE,0 Block of CARMELITA ST,-122.4342528,37.77023942
01/23/2015 19:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE,3200 Block of PIERCE ST,-122.4393685,37.79993194
01/23/2015 19:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Friday,CENTRAL,NONE,700 Block of TAYLOR ST,-122.4120509,37.78927389
01/23/2015 19:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Friday,TENDERLOIN,NONE,400 Block of JONES ST,-122.4128571,37.78558044
01/23/2015 19:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,NORTHERN,NONE,POLK ST / AUSTIN ST,-122.4204025,37.78916438
01/23/2015 19:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,MISSION,NONE,17TH ST / SOUTH VAN NESS AV,-122.4173326,37.7635719
01/23/2015 19:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,9TH ST / CLEMENTINA ST,-122.4121738,37.7742011
01/23/2015 19:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,MISSION,NONE,800 Block of VALENCIA ST,-122.4214579,37.75971782
01/23/2015 19:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,PARK,NONE,TURK ST / CENTRAL AV,-122.4453478,37.77883629
01/23/2015 19:00,OTHER OFFENSES,VIOLATION OF EMERGENCY PROTECTIVE ORDER,Friday,CENTRAL,"ARREST, BOOKED",700 Block of GEARY ST,-122.4156546,37.78646724
01/23/2015 19:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,TENDERLOIN,NONE,LEAVENWORTH ST / OFARRELL ST,-122.4146197,37.78558306
01/23/2015 18:50,ASSAULT,BATTERY,Friday,TARAVAL,"ARREST, BOOKED",19TH AV / CRESPI DR,-122.4752231,37.72044181
01/23/2015 18:42,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Friday,TENDERLOIN,JUVENILE BOOKED,0 Block of OFARRELL ST,-122.4058954,37.78673422
01/23/2015 18:42,SECONDARY CODES,JUVENILE INVOLVED,Friday,TENDERLOIN,JUVENILE BOOKED,0 Block of OFARRELL ST,-122.4058954,37.78673422
01/23/2015 18:38,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,SOUTHERN,"ARREST, BOOKED",6TH ST / STEVENSON ST,-122.4096964,37.78175406
01/23/2015 18:30,VEHICLE THEFT,STOLEN TRUCK,Friday,INGLESIDE,NONE,1100 Block of NAPLES ST,-122.4375884,37.71211954
01/23/2015 18:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,RICHMOND,NONE,1000 Block of POINTLOBOS AV,-122.5136421,37.77846922
01/23/2015 18:30,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,NORTHERN,NONE,1700 Block of WEBSTER ST,-122.4318154,37.78674355
01/23/2015 18:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,TARAVAL,NONE,LINCOLN WY / 10TH AV,-122.4675141,37.76587643
01/23/2015 18:30,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Friday,NORTHERN,NONE,FRANKLIN ST / OLIVE ST,-122.4227492,37.7840828
01/23/2015 18:16,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, BOOKED",HUDSON AV / PHELPS ST,-122.3901456,37.74110728
01/23/2015 18:11,ASSAULT,BATTERY,Friday,CENTRAL,NONE,MARKET ST / 1ST ST,-122.3991523,37.79101661
01/23/2015 18:10,ROBBERY,"ROBBERY, BODILY FORCE",Friday,CENTRAL,NONE,STOCKTON ST / SACRAMENTO ST,-122.4077298,37.7931773
